,type,time,a,e,i,aT,eT,iT,x,y,z,vx,vy,vz,latitude,longitude,altitude,q_dot
0,orbit,367020,6868.16131278989,0.0005404686520971389,51.599999999999994,6943.1,0.001,51.6,1333.7271285130978,-5908.65900281154,-3244.3146898808536,4.671673096116866,3.6714593463628677,-4.761983460442632,-28.322422531040463,16.906921906981896,498084.7453948818,-76956102.71986154
0,orbit,367200,6868.231105660177,0.0005319976557170281,51.599999999999994,6943.1,0.001,51.6,2142.602034798833,-5134.957671857723,-4031.4360331237367,4.2860037314897745,4.896740315137423,-3.9547773408720333,-36.094973260534125,27.587831193861543,500273.56270634383,-76816549.921298
0,orbit,367380,6868.300924085588,0.0005249168277086118,51.599999999999994,6943.1,0.001,51.6,2866.460496288029,-4157.495921747412,-4658.591028360888,3.730164674798227,5.927949963060874,-2.990458444707349,-42.86978274135088,40.27617852346977,502223.9601395298,-76676752.7464749
0,orbit,367560,6868.37075053447,0.0005195714720578679,51.599999999999994,6943.1,0.001,51.6,3476.5532182462575,-3015.0221079795774,-5100.851285662433,3.02611840893439,6.724111135868759,-1.9071920048214022,-48.121566104090995,55.50992102487915,503571.85652094893,-76536666.23988767
0,orbit,367740,6868.440578269415,0.0005162306629623021,51.599999999999994,6943.1,0.001,51.6,3948.628980852195,-1752.8484480237773,-5340.609522369944,2.2017183535390235,7.253512780944345,-0.7478919313834748,-51.203680960928125,73.25819640966883,504037.84356684145,-76396241.28935255
0,orbit,367920,6868.510411112234,0.000515066371313894,51.599999999999994,6943.1,0.001,51.6,4263.900352543639,-421.06271582347625,-5368.285063952228,1.2896211327375997,7.494983606496609,0.44146462093094546,-51.57902190511458,92.3076067531357,503473.4134688303,-76255430.07211621
0,orbit,368100,6868.580256828165,0.0005161394481303371,51.60000000000001,6943.1,0.001,51.6,4409.795440195681,927.4531613597785,-5182.713372277702,0.32600436503686153,7.43875630385234,1.613651403631198,-49.17022977921686,110.5765184241412,501887.21875598375,-76114202.77077307
0,orbit,368280,6868.6500836033065,0.0005193919443457073,51.60000000000001,6943.1,0.001,51.6,4380.464921691159,2239.1202395261344,-4791.202664210382,-0.6508615117108544,7.086884239674857,2.7220658422595263,-44.42104892036366,126.52573919794511,499447.47479390725,-75972637.12343565
0,orbit,368460,6868.719921171965,0.000524656781646539,51.60000000000001,6943.1,0.001,51.6,4177.022974225436,3461.7926987566802,-4209.253680438682,-1.602132108714942,6.453189525056037,3.7225865980985753,-37.980472764388175,139.8544033838176,496459.9509558482,-75830712.15294568
0,orbit,368640,6868.789727091856,0.0005316644155934973,51.600000000000016,6943.1,0.001,51.6,3807.511125822006,4546.836105077749,-3459.9520808852103,-2.4899385512098458,5.562739534703371,4.575341076264746,-30.415680509752004,151.012788060704,493324.42239170894,-75688576.21790417
0,orbit,368820,6868.859540859101,0.000540078358385314,51.60000000000003,6943.1,0.001,51.6,3286.5851349519617,5451.070116554829,-2573.0562663911496,-3.2789050171849334,4.450868741273617,5.246310405470408,-22.134849452276487,160.62076148177587,490475.6708275601,-75546228.28445585
0,orbit,369000,6868.929321655232,0.0005495028452914679,51.60000000000003,6943.1,0.001,51.6,2634.9362833213863,6138.496741022031,-1583.8160302195033,-3.9375718861229783,3.1617815521127643,5.708704586953428,-13.418640792622847,169.22830662656662,488317.7487576073,-75403842.71616387
0,orbit,369180,6868.9991081632215,0.0005595274767637776,51.60000000000002,6943.1,0.001,51.6,1878.4694851630989,6581.743354090605,-531.5688253722952,-4.439665198581443,1.746790755432299,5.944049535559095,-4.468526310205809,177.28261413516077,487161.75341059454,-75261437.4875953
0,orbit,369360,6869.0688909483015,0.0005697321749709443,51.60000000000003,6943.1,0.001,51.6,1047.270809984971,6763.161031414671,541.830078937238,-4.765158672824571,0.26226216453730933,5.9429388991348375,4.554952161561858,-174.83856702157294,487177.2986691557,-75119129.55708125
0,orbit,369540,6869.138666332993,0.0005797125890667637,51.60000000000003,6943.1,0.001,51.6,174.4059696055565,6675.532721067401,1593.680030246026,-4.9010832166984875,-1.2326501085747874,5.705418003511937,13.503663474743567,-166.7807908512603,488365.9485483896,-74977020.60815682
0,orbit,369720,6869.208449013218,0.0005890957251006778,51.60000000000002,6943.1,0.001,51.6,-705.4015024625407,6322.3619179364705,2582.1420213748006,-4.842049412688385,-2.6783837873774905,5.24098284035949,22.216803689384225,-158.16585900923965,490561.24652346876,-74835168.21951921
0,orbit,369900,6869.278244240227,0.0005975459765667163,51.60000000000002,6943.1,0.001,51.6,-1557.1585369570364,5717.729966529509,3467.910750228501,-4.590460962384803,-4.017364555456513,4.568193906337768,30.492313393889596,-148.54571948693862,493455.3276327364,-74693640.22839814
0,orbit,370080,6869.3480774692725,0.0006047753472847853,51.60000000000003,6943.1,0.001,51.6,-2347.0006831211185,4885.728142815396,4215.783635357889,-4.156410657229552,-5.196318158249132,3.713921598276175,38.04851122486717,-137.36940862743327,496647.45067872014,-74552453.05807461
0,orbit,370260,6869.417917414466,0.0006105409262602015,51.60000000000003,6943.1,0.001,51.6,-3043.5432659935605,3859.4883676729087,4796.06317717637,-3.5572642339970137,-6.168402525581633,2.712255764654724,44.475745172013724,-124.01714210319699,499706.1675610887,-74411725.98810522
0,orbit,370440,6869.487763500562,0.0006146571216789334,51.60000000000003,6943.1,0.001,51.6,-3619.1308693634255,2679.8529680870097,5185.736238324514,-2.816951073598168,-6.895072674519833,1.6031264111177868,49.205423696889454,-108.04273873167155,502234.92997346073,-74271503.48222865
0,orbit,370620,6869.55758483275,0.0006169935339899427,51.60000000000003,6943.1,0.001,51.6,-4050.9350119620935,1393.7385362662533,5369.3833819753,-1.9649928619707568,-7.34760341228704,0.4306942205222686,51.58894042840186,-89.75785840245479,503930.88831500337,-74131877.48747231
0,orbit,370800,6869.62741365637,0.0006174785812427161,51.60000000000003,6943.1,0.001,51.6,-4321.856471306695,52.261072137257884,5339.782811327607,-1.0353121212150975,-7.508210666788802,-0.7584214394842038,51.18657770526097,-70.71264832090704,504628.18309397716,-73992800.40034351
0,orbit,370980,6869.697218976348,0.0006160976836915181,51.60000000000003,6943.1,0.001,51.6,-4421.197048527021,-1291.3013253352417,5098.186189227573,-0.06487082972495002,-7.370729686761944,-1.917003825683525,48.08135976242631,-52.98626592136181,504319.6673338255,-73854337.2352558
0,orbit,371160,6869.767020709634,0.0006128931156290315,51.600000000000044,6943.1,0.001,51.6,-4345.075183865241,-2583.626128183065,4654.257044638102,0.9078045391505843,-6.940827705148494,-2.9991139624910406,42.81327297449362,-37.779591584256956,503154.2276541395,-73716438.43107808
0,orbit,371340,6869.836802549138,0.0006079659118482861,51.600000000000044,6943.1,0.001,51.6,-4096.570317509597,-3773.460014211484,4025.676017798612,1.844151921706071,-6.235747322410845,-3.9619051155758886,36.02853198462839,-25.11469148385234,501410.30503098946,-73579112.71865466
0,orbit,371520,6869.906580463727,0.0006014713025075559,51.600000000000044,6943.1,0.001,51.6,-3685.591741113102,-4813.6450772355865,3237.430293805855,2.707095946645767,-5.283595801441517,-4.767306080187064,28.25087165597835,-14.451293531995535,499449.55595737975,-73442292.10737257
0,orbit,371700,6869.976371203172,0.0005936185948602401,51.600000000000044,6943.1,0.001,51.6,-3128.478486136557,-5662.978528266351,2320.8167173724423,3.4625045345268446,-4.1222123169437035,-5.3835091867737646,19.84775044147435,-5.177775358072037,497657.544026833,-73305894.56849685
0,orbit,371880,6870.046153868239,0.0005846742471800326,51.600000000000044,6943.1,0.001,51.6,-2447.347130099353,-6287.8339783441625,1312.1988728247134,4.0805243696117195,-2.7976606879147927,-5.7862075793570185,11.072423834120226,3.225514876150949,496380.53970841225,-73169899.3329215
0,orbit,372060,6870.115921340999,0.0005749525118940392,51.600000000000044,6943.1,0.001,51.6,-1669.21391672146,-6663.482157880231,251.56749278203642,4.536745288242409,-1.3624081131635866,-5.959536604901412,2.1104238162523274,11.181224346989522,495868.4792635003,-73034247.09801376
0,orbit,372240,6870.1856782121495,0.0005648091433170857,51.600000000000044,6943.1,0.001,51.6,-824.925972056958,-6775.060808202086,-819.0393260739723,4.8131505200066655,0.12673910330335306,-5.896685480605088,-6.8853616499183055,19.054457548075487,496233.5072066933,-72898845.71777463
0,orbit,372420,6870.255449516201,0.0005546314484397988,51.600000000000044,6943.1,0.001,51.6,52.05656937567995,-6618.157012100881,-1857.194622602667,4.898817935029872,1.610863839768598,-5.600157701786489,-15.767874352744252,27.199289719413823,497431.16470356286,-72763555.40778105
0,orbit,372600,6870.325246686571,0.0005448316616316363,51.600000000000044,6943.1,0.001,51.6,926.98025063545,-6198.97996380175,-2821.75556758179,4.790346541236156,3.0312462119899184,-5.081671276670937,-24.370700335244678,36.005529175833345,499267.4874530984,-72628257.56099874
0,orbit,372780,6870.395062496592,0.0005358315757826973,51.60000000000003,6943.1,0.001,51.6,1765.1687519198056,-5534.117615314382,-3674.486286172368,4.49199234522676,4.3316645751900635,-4.3617027343203025,-32.47765158932446,45.94339610531,501430.7787156487,-72492868.16276474
0,orbit,372960,6870.464889376264,0.0005280393406457568,51.60000000000003,6943.1,0.001,51.6,2533.3911471915712,-4649.8862932913935,-4381.567689897436,4.015507965632002,5.460602797255043,-3.4686914742467927,-39.78148853357182,57.587596874298136,503542.5958481543,-72357307.00731248
0,orbit,373140,6870.534758822579,0.0005218224961838338,51.60000000000003,6943.1,0.001,51.6,3201.174919880004,-3581.2977669290726,-4914.9355943468,3.3796909452437136,6.373279967198585,-2.4379332663667777,-45.83541413965116,71.54905722059674,505219.41020483896,-72221426.55920279
0,orbit,373320,6870.604620665602,0.0005174926870996406,51.600000000000044,6943.1,0.001,51.6,3742.0125445497392,-2370.682876102028,-5253.3946355080125,2.6096562592016115,7.033424191064875,-1.3102032245316944,-50.03738039120404,88.1533418102352,506134.9773875214,-72085252.85099481
0,orbit,373500,6870.6744904861225,0.0005152695754079275,51.60000000000005,6943.1,0.001,51.6,4134.414168046215,-1066.0242221079777,-5383.463718355061,1.7358590192389676,7.4147207494581595,-0.13015918295317558,-51.755451028290786,106.80261918526824,506073.73309650924,-71948704.0703058
0,orbit,373680,6870.744373547116,0.0005152688203634765,51.60000000000005,6943.1,0.001,51.6,4362.764495340175,280.9379795752089,-5299.9187390570905,0.7929029204850775,7.501875512874443,1.0554147092592396,-50.656368600808214,125.69743901596844,504967.2162306225,-71811742.99483636
0,orbit,373860,6870.814248089776,0.0005174896233134801,51.600000000000044,6943.1,0.001,51.6,4417.949197908523,1616.753332654706,-5006.009770883195,-0.1818209515761027,7.291248444260505,2.199456957245621,-46.95651428892233,142.86520081966793,502908.16319150664,-71674412.48821871
0,orbit,374040,6870.884140116506,0.0005218172308790063,51.600000000000044,6943.1,0.001,51.6,4297.724894574868,2888.3816941907735,-4513.342488309887,-1.1496129124599417,6.791027794540783,3.256498161112736,-41.25266487537332,157.42105169839922,500140.09742590506,-71536688.44762571
0,orbit,374220,6870.954024797971,0.0005280289103427733,51.600000000000044,6943.1,0.001,51.6,4006.8166715358625,4045.302603806035,-3841.4268318292256,-2.072003222808985,6.020933138936732,4.184476436746544,-34.172114834770454,169.5430002111976,497023.64427751023,-71398671.43603902
