,type,time,Mx,My,Mz,Fx,Fy,Fz,wx,wy,wz,q1,q2,q3,q4,q1e,q2e,q3e,q4e,a,e,i,raan,argp,nu,x,y,z,vx,vy,vz,Bbx,Bby,Bbz,Btx,Bty,Btz,latitude,longitude,altitude
0,attitude,131.60000000000107,-4.3401831997890757e-07,-5.23328059372675e-07,5.039176148397701e-07,0,0,0,-0.0013185814533308352,0.0005768288122960255,-0.001261806109179992,-0.055921684189596824,-0.24227817433470472,-0.1271694126631879,0.9602093479868552,-0.053178023584010636,-0.24417043009145206,-0.12253245974236122,0.960488779312981,6795.097287285287,0.0005996024930609694,0.9005898940290686,1.3543754995475996,6.283135889279711,0.1487832576701189,831.676979497667,6693.648224456107,788.6633781894774,-4.841584535879386,-0.09757129842457185,5.939625794215449,2.8161704404215746e-05,-8.41667477324249e-06,1.5598757009348255e-05,3.325174869894544e-05,-1.165080776259595e-06,-4.549996402444702e-07,6.710757387118625,83.46804209929623,413220.6190334065
0,attitude,131.80000000000106,-4.351051842072003e-07,-5.230202795081633e-07,5.033229240797348e-07,0,0,0,-0.001305528297804619,0.0005925194206812704,-0.001276905796902384,-0.05679953728172128,-0.24162045212894018,-0.12873860180541524,0.9601144421800848,-0.053178023584010636,-0.24417043009145206,-0.12253245974236122,0.960488779312981,6795.097283391946,0.0005996019267752138,0.9005898940290685,1.3543754995475996,6.283135747585322,0.14900909361316872,830.708641429324,6693.628539817445,789.8512832637175,-4.841796105096076,-0.09927508731869318,5.93942489610947,2.8146397547864912e-05,-8.50113627308167e-06,1.5582515900462396e-05,3.325288507813037e-05,-1.1640730545573666e-06,-4.408883627773623e-07,6.720910001002882,83.47701995664731,413221.62867288105
0,attitude,132.00000000000105,-4.36193735590613e-07,-5.227074672127922e-07,5.027220848114708e-07,0,0,0,-0.0012924424857369008,0.0006082006446976542,-0.0012919874594467281,-0.05765896723056531,-0.2409493187355977,-0.13031953823863035,0.9600185869304959,-0.05765896723056531,-0.2409493187355977,-0.13031953823863035,0.9600185869304959,6795.097278888506,0.0005996012717725903,0.9005898940290686,1.3543754995475996,6.283135583440134,0.14923495199789105,829.7402610717877,6693.60851442152,791.039148128101,-4.842007427598125,-0.10097887105130328,5.939223695386853,2.81309604141315e-05,-8.586653799817257e-06,1.55654425854573e-05,3.3254017791852346e-05,-1.16306611786134e-06,-4.267763877816678e-07,6.731062474715161,83.48599814951169,413222.6398018459
0,attitude,132.20000000000104,-4.074181344647753e-07,-5.136403029103245e-07,4.5296572295933406e-07,0,0,0,-0.0012802199417029576,0.000623609853784964,-0.001305576431135508,-0.05850055515713194,-0.24026484359344805,-0.13191160072712474,0.959921777840742,-0.05765896723056531,-0.2409493187355977,-0.13031953823863035,0.9600185869304959,6795.09727473117,0.0005996006671298741,0.9005898940290686,1.3543754995475996,6.283135431682269,0.14946079798613843,828.7718384743988,6693.5881482693685,792.2269727221089,-4.842218503715063,-0.10268264954258133,5.9390221924752895,2.8115393016671485e-05,-8.673179589450388e-06,1.554754313171956e-05,3.325514684068556e-05,-1.162059966380774e-06,-4.12663718316775e-07,6.74121480803625,83.49497667840991,413223.6524201138
0,attitude,132.40000000000103,-4.085120226279574e-07,-5.13321632502009e-07,4.523766425855061e-07,0,0,0,-0.001267964581024119,0.0006390095027600242,-0.0013191477304130732,-0.05932488146476449,-0.2395670935573215,-0.13351416726464405,0.9598240116101064,-0.05765896723056531,-0.2409493187355977,-0.13031953823863035,0.9600185869304959,6795.097270501827,0.0005996000520355437,0.9005898940290686,1.3543754995475996,6.283135277064273,0.1496866468253577,827.8033736864398,6693.567441362053,793.4147569852997,-4.84242933328736,-0.10438642270251025,5.938820387202586,2.8099695880033203e-05,-8.760665822021657e-06,1.552882346779205e-05,3.325627222520572e-05,-1.1610546003250578e-06,-3.9855035744211e-07,6.751367000747533,83.50395554386311,413224.6665275004
0,attitude,132.60000000000102,-4.096073418520581e-07,-5.12997818405144e-07,4.517817654601442e-07,0,0,0,-0.0012556763607685572,0.0006543994373121785,-0.0013327011833768776,-0.06013190167064821,-0.23885611041699814,-0.13512722311201092,0.9597252453134548,-0.05765896723056531,-0.2409493187355977,-0.13031953823863035,0.9600185869304959,6795.097266019596,0.0005995994001842678,0.9005898940290687,1.3543754995475996,6.283135112955376,0.14991250514630394,826.834866757217,6693.546393700642,794.6025008572059,-4.842639916239916,-0.10609019044277863,5.938618279500124,2.808385885482157e-05,-8.849112524784944e-06,1.5509282341509645e-05,3.325739394598976e-05,-1.1600500199035817e-06,-3.844363082153293e-07,6.761519052630139,83.51293474639229,413225.6821238175
0,attitude,132.800000000001,-4.107040709993372e-07,-5.126686914815067e-07,4.511809165704292e-07,0,0,0,-0.001243355238638577,0.0006697794980566237,-0.0013462366108739905,-0.060921571323123765,-0.23813193593646115,-0.13675075300623546,0.9596254346290026,-0.05765896723056531,-0.2409493187355977,-0.13031953823863035,0.9600185869304959,6795.097262235107,0.0005995988498247603,0.9005898940290685,1.3543754995475996,6.283134974185876,0.15013833811866029,825.8663177360602,6693.525005286236,795.790204277338,-4.842850252900366,-0.10779395268395862,5.938415869793153,2.8067871703089825e-05,-8.938519556225143e-06,1.5488918397258973e-05,3.325851200361635e-05,-1.1590462253258164e-06,-3.7032157369346125e-07,6.771670963464958,83.52191428651834,413226.69920887705
0,attitude,133.000000000001,-4.1180218441394246e-07,-5.123340807741405e-07,4.5057392000318254e-07,0,0,0,-0.0012310011731061588,0.0006851495204798479,-0.001359753828474086,-0.061693846003699884,-0.23739461186306973,-0.13838474114968885,0.9595245338398533,-0.06169384600369989,-0.23739461186306976,-0.13838474114968888,0.9595245338398534,6795.09725781329,0.000599598206803414,0.9005898940290686,1.3543754995475996,6.283134811804546,0.1503641946936538,824.8977266722259,6693.503276119938,796.9778671852987,-4.843060342782828,-0.1094977093285967,5.938213157509347,2.8051724099647395e-05,-9.028886604484545e-06,1.546773017664989e-05,3.3259626398665517e-05,-1.1580432168013144e-06,-3.562061569328811e-07,6.781822733033617,83.53089416476283,413227.7177824918
0,attitude,133.20000000000098,-3.8430023912775865e-07,-5.037735789792893e-07,4.028884451261343e-07,0,0,0,-0.001219472165932326,0.0007002627278492266,-0.00137184048182787,-0.062449277700796745,-0.236644195442774,-0.14002858801073587,0.9594225383102122,-0.06169384600369989,-0.23739461186306976,-0.13838474114968888,0.9595245338398534,6795.097253382877,0.0005995975625541184,0.9005898940290689,1.3543754995475996,6.283134648864772,0.150590051817872,823.929093615071,6693.481206202877,798.165489520574,-4.8432701861003995,-0.11120146029478462,5.93801014293349,2.803541694695651e-05,-9.120167414530072e-06,1.5445722610464913e-05,3.326073713171894e-05,-1.157040994539622e-06,-3.4209006098793166e-07,6.791974361116703,83.53987438164657,413228.73784446996
0,attitude,133.40000000000097,-3.8540809482460873e-07,-5.034319040431042e-07,4.0229217778657745e-07,0,0,0,-0.0012079099230875876,0.0007153656849705198,-0.0013839092471614673,-0.06318841757964459,-0.235880741653222,-0.14168169330037547,0.9593194449110498,-0.06169384600369989,-0.23739461186306976,-0.13838474114968888,0.9595245338398534,6795.097248898473,0.0005995969104756817,0.9005898940290687,1.3543754995475996,6.283134483693611,0.15081591116424553,822.9604186139093,6693.458795536199,799.3530712227073,-4.8434797828262495,-0.11290520549525587,5.937806826056157,2.8018951658941316e-05,-9.212315702273356e-06,1.5422900540552108e-05,3.326184420335963e-05,-1.1560395587504375e-06,-3.279732889134921e-07,6.80212584749524,83.54885493769079,413229.7593946289
0,attitude,133.60000000000096,-3.865170537568603e-07,-5.030846612435072e-07,4.0169019465139344e-07,0,0,0,-0.0011963144114748817,0.000730458224807825,-0.001395959953001009,-0.06391122034871939,-0.23510429023331914,-0.14334403986996141,0.9592152077929038,-0.06169384600369989,-0.23739461186306976,-0.13838474114968888,0.9595245338398534,6795.097244866176,0.0005995963241589656,0.9005898940290689,1.3543754995475996,6.283134334953883,0.15104175406993958,821.9917017180609,6693.436044121065,800.5406122312368,-4.843689133129884,-0.11460894484737075,5.937603207108616,2.8002318501354763e-05,-9.305330885637757e-06,1.5399262320451984e-05,3.3262947614172096e-05,-1.1550389096434748e-06,-3.1385584376272843e-07,6.812277191950172,83.55783583341679,413230.7824327722
0,attitude,133.80000000000095,-3.8762708104029916e-07,-5.02731689722283e-07,4.0108234634566645e-07,0,0,0,-0.0011846855990436727,0.0007455401754994936,-0.001407992423391379,-0.06461764076341256,-0.2343148809741433,-0.14501561006692795,0.9591097798965248,-0.06169384600369989,-0.23739461186306976,-0.13838474114968888,0.9595245338398534,6795.097241093575,0.000599595775622018,0.9005898940290689,1.3543754995475996,6.2831341955869116,0.1512675875936238,821.0229429768111,6693.4129519586495,801.7281124857506,-4.843898236932172,-0.11631267826271148,5.93739928601731,2.7985507664476958e-05,-9.399212222003804e-06,1.5374806219266293e-05,3.326404736474238e-05,-1.154039047428521e-06,-2.9973772858804434e-07,6.822428394262812,83.56681706934619,413231.8069587145
0,attitude,134.00000000000094,-3.88738137924918e-07,-5.023728271052007e-07,4.0046848292155664e-07,0,0,0,-0.0011730234549059252,0.0007606113603126496,-0.0014200064778790258,-0.06530763362901655,-0.23351255372773116,-0.14669638572543814,0.9590031129545019,-0.06530763362901655,-0.23351255372773116,-0.14669638572543814,0.9590031129545019,6795.097236875343,0.0005995951623118046,0.9005898940290689,1.3543754995475996,6.283134039526682,0.15149343780130442,820.0541424394612,6693.3895190501535,802.915571925821,-4.844107093971377,-0.11801640564833922,5.937195062484892,2.7968509264403093e-05,-9.493958806731776e-06,1.5349530422423596e-05,3.3265143455658e-05,-1.153039972315385e-06,-2.8561894644030586e-07,6.832579454214289,83.57579864600055,413232.8329722658
0,attitude,134.20000000000093,-3.6247848897309016e-07,-4.941666119255351e-07,3.5482424346682504e-07,0,0,0,-0.0011621491002367325,0.0007754363586704156,-0.0014306512051830305,-0.06598172254390815,-0.23269735701062821,-0.14838578876095973,0.9588952028372,-0.06530763362901655,-0.23351255372773116,-0.14669638572543814,0.9590031129545019,6795.097233155413,0.0005995946214707668,0.9005898940290687,1.3543754995475996,6.283133901698223,0.15171926976793104,819.085300155366,6693.365745396788,804.1029904909598,-4.844315704572936,-0.11972012692555964,5.936990536933707,2.7951325022089253e-05,-9.589525925595653e-06,1.532343904535605e-05,3.326623588750803e-05,-1.1520416845139516e-06,-2.714995003696571e-07,6.842730371585174,83.58478056390108,413233.8604732342
0,attitude,134.40000000000092,-3.6360271959596467e-07,-4.93799586100898e-07,3.5422034474855095e-07,0,0,0,-0.0011512410186488534,0.0007902503462534425,-0.0014412778155254871,-0.06664043020630121,-0.23186933735853524,-0.15008324035215564,0.9587860472598827,-0.06530763362901655,-0.23351255372773116,-0.14669638572543814,0.9590031129545019,6795.097228688731,0.0005995939720810587,0.9005898940290689,1.3543754995475996,6.2831337359566355,0.15194512963839868,818.1164161738116,6693.3416309997865,805.2903681207664,-4.844524068282953,-0.12142384199650386,5.936785708830954,2.7933957166887703e-05,-9.685868858755028e-06,1.5296536157192202e-05,3.326732466088287e-05,-1.1510441842342193e-06,-2.573793934259597e-07,6.852881146156733,83.59376282356966,413234.8894614335
0,attitude,134.6000000000009,-3.647276938757308e-07,-4.934266112763769e-07,3.5361092697553433e-07,0,0,0,-0.0011402991878325815,0.0008050531445917338,-0.0014518861433347532,-0.06728371046300034,-0.23102853308385074,-0.15178872104318925,0.9586755986106709,-0.06530763362901655,-0.23351255372773116,-0.14669638572543814,0.9590031129545019,6795.097224857218,0.0005995934150552355,0.9005898940290689,1.3543754995475996,6.28313359357407,0.15217096614052927,817.1474905441784,6693.3171758604,806.4777047547323,-4.844732185582866,-0.12312755078660474,5.936580578790088,2.791639642195666e-05,-9.782986478243599e-06,1.526881984224652e-05,3.3268409776374414e-05,-1.1500474716861792e-06,-2.4325862865723327e-07,6.863031777709262,83.6027454255274,413235.9199366728
0,attitude,134.8000000000009,-3.6585336746036907e-07,-4.930475356274468e-07,3.529958647651311e-07,0,0,0,-0.0011293235868087704,0.0008198445706605572,-0.0014624760192777071,-0.06791151722625573,-0.23017498262068922,-0.15350221090006727,0.9585638082320783,-0.06530763362901655,-0.23351255372773116,-0.14669638572543814,0.9590031129545019,6795.097220892582,0.000599592838695773,0.9005898940290689,1.3543754995475996,6.2831334460273185,0.15239680779752884,816.1785233157498,6693.292379979892,807.6650003324694,-4.844940056188536,-0.12483125320208602,5.936375146486386,2.7898633446536106e-05,-9.880877503564576e-06,1.5240288117399457e-05,3.326949123457604e-05,-1.1490515470799777e-06,-2.2913720911177572e-07,6.873182266024046,83.61172837029635,413236.9518987611
